                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88868,                0.61073,                 1.2553,                0.96538,                 0.9776,                 0.9871,                0.72329,                 1.1101,                0.50456,                 1.5784,             0.00025131,             0.00025131,             0.00025131
                     36,                0.91701,                0.65138,                 1.2864,                0.96636,                0.97288,                0.97658,                0.69658,                 1.1122,                0.51276,                 1.5753,             0.00023608,             0.00023608,             0.00023608
                     37,                 0.9012,                 0.6583,                 1.2256,                0.98551,                 0.9867,                  0.995,                0.69542,                 1.1698,                0.50175,                 1.6028,             0.00022086,             0.00022086,             0.00022086
                     38,                0.88993,                0.62954,                 1.2293,                0.97296,                0.98413,                0.99306,                0.71035,                 1.1678,                0.49569,                 1.6214,             0.00020563,             0.00020563,             0.00020563
                     39,                0.86303,                0.57493,                 1.2399,                0.97235,                0.98976,                  0.995,                0.72758,                 1.1288,                0.47554,                 1.5608,              0.0001904,              0.0001904,              0.0001904
                     40,                0.91508,                0.64161,                 1.2797,                0.97548,                0.99516,                  0.995,                0.73079,                 1.1209,                0.47806,                 1.5469,             0.00017518,             0.00017518,             0.00017518
                     41,                0.79377,                 0.5059,                 1.2605,                 0.9822,                      1,                  0.995,                0.70928,                 1.1246,                0.47334,                 1.5673,             0.00015995,             0.00015995,             0.00015995
                     42,                0.75035,                0.45235,                 1.2232,                0.97897,                      1,                  0.995,                0.70287,                 1.1478,                0.45477,                 1.5787,             0.00014473,             0.00014473,             0.00014473
                     43,                0.73058,                 0.4399,                 1.1909,                  0.974,                      1,                  0.995,                 0.7117,                 1.1176,                0.44477,                 1.5537,              0.0001295,              0.0001295,              0.0001295
                     44,                0.67228,                0.45914,                 1.1784,                0.94391,                0.99933,                0.99111,                0.72009,                 1.0809,                0.46334,                  1.533,             0.00011427,             0.00011427,             0.00011427
                     45,                0.70536,                0.41213,                 1.1765,                0.98796,                0.98897,                  0.995,                0.72194,                 1.0932,                0.44935,                 1.5487,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     46,                0.67728,                0.40901,                 1.1543,                0.99113,                0.98829,                  0.995,                0.71191,                 1.1052,                0.44904,                 1.5704,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     47,                0.66137,                0.38931,                 1.1204,                0.98814,                0.99341,                  0.995,                0.71705,                 1.0802,                0.43629,                  1.536,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     48,                0.65575,                0.39747,                 1.1371,                 0.9788,                      1,                  0.995,                0.72687,                 1.0665,                0.43373,                 1.5269,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     49,                0.66209,                 0.3843,                 1.1409,                 0.9763,                      1,                  0.995,                0.72141,                 1.0657,                0.43355,                 1.5336,             3.8142e-05,             3.8142e-05,             3.8142e-05
                     50,                0.66972,                0.38904,                 1.1484,                0.97691,                      1,                  0.995,                0.72599,                 1.0654,                0.42967,                 1.5374,             2.2916e-05,             2.2916e-05,             2.2916e-05
